date,product_id,product_name,category,units_sold,unit_price,discount_pct,gross_revenue,units_returned,return_rate,net_units_sold,net_revenue,cogs_per_unit,cogs_total,gross_profit,gross_margin_pct,marketing_spend,competitor_price,price_vs_competitor,economic_index,consumer_sentiment,csat_score,is_holiday,is_weekend,is_black_friday_week,is_cyber_monday,is_prime_day,day_of_week,month,quarter,season,season_ord,revenue_lag_1d,revenue_lag_7d,revenue_lag_30d,revenue_roll7_mean,revenue_roll30_mean,revenue_roll7_std,units_lag_1d,units_roll7_mean,target_next_day_revenue,is_high_demand_spike,day_name,year
2022-01-01,P001,Laptop,Electronics,157,732.37,19.0,114982.09,5,0.0328,152,111320.24,380.33,57810.16,53510.08,48.07,233.88,834.12,0.878,100.42,81.03,3.9,1,1,0,0,0,5,1,1,Winter,1,57417.5,57350.47,57304.94,111320.24,111320.24,10435.46,71.63,157.0,72427.48,0,Saturday,2022
2022-01-02,P001,Laptop,Electronics,92,842.18,6.3,77480.56,6,0.075,86,72427.48,367.15,31574.9,40852.58,56.4,206.21,957.24,0.8798,99.44,75.77,3.1,0,1,0,0,0,6,1,1,Winter,1,111320.24,57350.47,57304.94,91873.86,91873.86,27501.33,157.0,124.5,66842.69,0,Sunday,2022
2022-01-03,P001,Laptop,Electronics,83,846.11,6.17,70227.13,4,0.0508,79,66842.69,357.37,28232.23,38610.46,57.76,184.18,956.12,0.8849,99.27,80.84,3.8,0,0,0,0,0,0,1,1,Winter,1,72427.48,57350.47,57304.94,83530.14,83530.14,24228.39,92.0,110.67,76328.07,0,Monday,2022
2022-01-04,P001,Laptop,Electronics,94,838.77,5.94,78844.38,3,0.0329,91,76328.07,464.16,42238.56,34089.51,44.66,261.84,861.99,0.9731,98.36,81.27,4.6,0,0,0,0,0,1,1,1,Winter,1,66842.69,57350.47,57304.94,81729.62,81729.62,20107.48,83.0,106.5,70008.55,0,Tuesday,2022
2022-01-05,P001,Laptop,Electronics,89,823.63,9.3,73303.07,4,0.045,85,70008.55,377.39,32078.15,37930.4,54.18,260.53,953.61,0.8637,98.83,73.24,3.9,0,0,0,0,0,2,1,1,Winter,1,76328.07,57350.47,57304.94,79385.41,79385.41,18185.43,94.0,103.0,62667.75,0,Wednesday,2022
2022-01-06,P001,Laptop,Electronics,76,835.57,6.51,63503.32,1,0.0252,75,62667.75,387.16,29037.0,33630.75,53.67,252.2,812.32,1.0286,101.3,80.65,4.4,0,0,0,0,0,3,1,1,Winter,1,70008.55,57350.47,57304.94,76599.13,76599.13,17639.38,89.0,98.5,65275.87,0,Thursday,2022
2022-01-07,P001,Laptop,Electronics,77,894.19,1.39,68852.63,4,0.0646,73,65275.87,453.78,33125.94,32149.93,49.25,236.1,881.6,1.0143,100.25,76.75,3.7,0,0,0,0,0,4,1,1,Winter,1,62667.75,57350.47,57304.94,74981.52,74981.52,16661.52,76.0,95.43,105350.0,0,Friday,2022
2022-01-08,P001,Laptop,Electronics,131,842.8,5.67,110406.8,6,0.0499,125,105350.0,345.2,43150.0,62200.0,59.04,244.19,997.75,0.8447,102.84,78.98,3.7,0,1,0,0,0,5,1,1,Winter,1,65275.87,111320.24,57304.94,74128.63,78777.58,14504.53,77.0,91.71,66911.16,0,Saturday,2022
2022-01-09,P001,Laptop,Electronics,81,880.41,1.29,71313.21,5,0.0729,76,66911.16,370.82,28182.32,38728.84,57.88,237.28,877.22,1.0036,102.04,78.02,3.4,0,1,0,0,0,6,1,1,Winter,1,105350.0,72427.48,57304.94,73340.58,77459.09,14759.96,131.0,90.14,71957.16,0,Sunday,2022
2022-01-10,P001,Laptop,Electronics,83,888.36,0.92,73733.88,2,0.0331,81,71957.16,454.46,36811.26,35145.9,48.84,194.51,1043.48,0.8513,101.52,81.42,4.2,0,0,0,0,0,0,1,1,Winter,1,66911.16,66842.69,57304.94,74071.22,76908.9,14509.16,81.0,90.14,65246.72,0,Monday,2022
2022-01-11,P001,Laptop,Electronics,83,847.36,6.47,70330.88,6,0.0803,77,65246.72,342.87,26400.99,38845.73,59.54,260.65,878.29,0.9648,100.47,76.83,4.0,0,0,0,0,0,1,1,1,Winter,1,71957.16,76328.07,57304.94,72488.17,75848.7,14823.01,83.0,88.57,57384.52,0,Tuesday,2022
2022-01-12,P001,Laptop,Electronics,72,843.89,6.13,60760.08,4,0.0692,68,57384.52,387.81,26371.08,31013.44,54.04,199.99,824.81,1.0231,101.62,77.43,3.2,0,0,0,0,0,2,1,1,Winter,1,65246.72,70008.55,57304.94,70684.74,74310.02,15903.54,83.0,86.14,64231.2,0,Wednesday,2022
2022-01-13,P001,Laptop,Electronics,84,802.89,11.66,67442.76,4,0.0552,80,64231.2,348.48,27878.4,36352.8,56.6,202.66,926.8,0.8663,99.42,74.93,3.9,0,0,0,0,0,3,1,1,Winter,1,57384.52,62667.75,57304.94,70908.09,73534.72,15782.7,72.0,87.29,58799.2,0,Thursday,2022
2022-01-14,P001,Laptop,Electronics,72,877.6,3.34,63187.2,5,0.0733,67,58799.2,371.94,24919.98,33879.22,57.62,201.56,831.65,1.0553,101.62,77.87,3.6,0,0,0,0,0,4,1,1,Winter,1,64231.2,65275.87,57304.94,69982.85,72482.19,16347.64,84.0,86.57,75415.16,0,Friday,2022
2022-01-15,P001,Laptop,Electronics,95,819.73,8.74,77874.35,3,0.0331,92,75415.16,347.13,31935.96,43479.2,57.65,236.91,963.72,0.8506,99.87,78.11,4.5,0,1,0,0,0,5,1,1,Winter,1,58799.2,105350.0,57304.94,65706.45,72677.72,6508.12,72.0,81.43,78939.32,0,Saturday,2022
2022-01-16,P001,Laptop,Electronics,98,839.78,7.09,82298.44,4,0.0471,94,78939.32,460.02,43241.88,35697.44,45.22,181.49,930.95,0.9021,102.25,74.19,3.7,0,1,0,0,0,6,1,1,Winter,1,75415.16,66911.16,57304.94,67424.75,73069.07,8237.35,95.0,83.86,109322.24,0,Sunday,2022
2022-01-17,P001,Laptop,Electronics,144,803.84,10.06,115752.96,8,0.0571,136,109322.24,372.47,50655.92,58666.32,53.66,263.22,1029.69,0.7807,102.58,74.15,4.7,1,0,0,0,0,0,1,1,Winter,1,78939.32,71957.16,57304.94,72762.62,75201.61,17993.19,98.0,92.57,64637.28,0,Monday,2022
